mm_4_75;mm_2;mm_1;fundo;peso_massa;data;produto;lote;ton;turno;box_consumo;aditivo;mm_4_75_perc;mm_2_perc;mm_1_perc;fundo_perc;linha
1.77;294.68;15.21;0.5;313.88;2024-12-14;MAP-12-52;338;50;A;AZ-07-A;NÃO;0.57;94.40;4.87;0.16;BAG MOVEL
2.95;286.28;11.75;1.07;302.78;2024-12-14;MAP-12-52;339;23;A;AZ-07-A;NÃO;0.98;94.78;3.89;0.35;BAG MOVEL
3.8;311.87;11.13;1.31;335.26;2024-12-16;UREIA;127;49;B;AZ-05;NÃO;1.16;95.05;3.39;0.40;BAG MOVEL
3.76;310.85;12.12;1.29;334.94;2024-12-16;UREIA;128;49;B;AZ-05;NAO;1.15;94.77;3.69;0.39;BAG MOVEL
8.68;286.82;3.67;1.07;297.08;2025-01-06;MAP-12-52;353;46;A;AZ-07-A;NAO;2.89;95.53;1.22;0.36;BAG MOVEL
5.70;284.75;5.55;1.09;293.79;2025-01-06;MAP-12-52;354;48;A;AZ-07-A;NAO;1.42;95.85;1.87;0.37;BAG MOVEL
5.78;295.75;7.42;1.16;308.50;2025-01-06;MAP-12-52;355;39;A;AZ-07-A;NAO;1.86;95.37;2.39;0.37;BAG MOVEL
7.56;324.30;4.07;1.00;334.95;2025-01-13;UREIA;277;48;B;AZ-07-B;NAO;2.24;96.25;1.21;0.30;BAG MOVEL
9.31;323.88;3.10;0.95;334.99;2025-01-13;UREIA;278;48;B;AZ-03-B;NAO;2.76;96.04;0.92;0.28;BAG MOVEL
10.35;324.46;4.99;1.02;334.81;2025-01-13;UREIA;281;49;B;AZ-03-B;NAO;3.04;95.20;1.46;0.30;BAG MOVEL
1.62;295.87;4.37;1.09;300.81;2025-01-14;UREIA;284;49;A;AZ-04-A;NAO;0.53;97.66;1.44;0.36;BAG MOVEL
1.41;293.85;4.88;1.16;299.08;2025-01-14;UREIA;285;49;A;AZ-03-B;NAO;0.47;97.53;1.62;0.38;BAG MOVEL
1.04;312.36;3.35;1.27;316.60;2025-01-14;UREIA;286;49;A;AZ-03-B;NAO;0.33;98.22;1.05;0.40;BAG MOVEL
0.78;301.34;5.04;1.05;307.16;2025-01-14;UREIA;287;49;A;AZ-03-B;NAO;0.25;97.77;1.64;0.34;BAG MOVEL
3.76;312.75;7.26;1.21;323.40;2025-01-14;UREIA;288;49;A;AZ-03-B;NAO;1.16;96.24;2.23;0.37;BAG MOVEL
1.09;307.81;4.47;1.09;312.94;2025-01-14;UREIA;290;49;A;AZ-03-A;NAO;0.35;97.89;1.42;0.35;BAG MOVEL
9.51;321.89;7.55;1.20;335.47;2025-01-14;UREIA;291;49;B;AZ-03-B;NAO;2.80;94.63;2.22;0.35;BAG MOVEL
10.48;320.58;6.66;1.22;335.44;2025-01-14;UREIA;292;50;B;AZ-07-A;NAO;3.09;94.58;1.96;0.36;BAG MOVEL
10.19;311.13;15.32;1.62;335.52;2025-01-15;UREIA;298;48;B;AZ-07-B;NAO;3.01;91.98;4.53;0.48;BAG MOVEL
9.38;312.10;14.26;1.66;335.63;2025-01-15;UREIA;299;16;B;AZ-07-B;NAO;2.78;92.50;4.23;0.49;BAG MOVEL
9.09;313.45;7.68;1.26;335.41;2025-01-16;UREIA;300;48;B;AZ-07-B;NAO;2.74;94.56;2.32;0.38;BAG MOVEL
8.98;324.53;4.76;1.19;334.58;2025-01-14;MAP-12-52;370;50;B;AZ-07-A;NAO;2.65;95.60;1.40;0.35;BAG MOVEL
2.00;287.15;12.56;1.01;300.53;2025-01-17;UREIA;301;50;A;AZ-07-B;NAO;0.66;94.86;4.15;0.33;BAG MOVEL
2.42;297.11;11.65;1.11;310.33;2025-01-17;UREIA;302;50;A;AZ-07-B;NAO;0.77;95.14;3.73;0.36;BAG MOVEL
6.29;276.50;8.62;2.59;299.58;2025-01-17;UREIA;303;50;A;AZ-07-B;NAO;2.14;94.05;2.93;0.88;BAG MOVEL
2.11;281.29;5.11;1.12;286.21;2025-01-18;UREIA;309;30;A;AZ-07-B;NAO;0.73;97.12;1.76;0.39;BAG MOVEL
1.91;295.04;8.75;1.16;304.08;2025-01-18;UREIA;310;49;A;AZ-07-B;NAO;0.62;96.15;2.85;0.38;BAG MOVEL
2.10;284.13;19.71;1.40;303.18;2025-01-18;UREIA;312;48;A;AZ-07-B;NAO;0.68;92.45;6.41;0.46;BAG MOVEL
12.46;289.39;9.76;1.62;318.19;2025-01-08;UREIA;313;37;A;AZ-07-B;NAO;3.98;92.39;3.12;0.52;BAG MOVEL
9.55;289.72;10.93;1.29;307.59;2025-01-18;UREIA;314;48;A;AZ-07-B;NAO;3.07;93.01;3.51;0.41;BAG MOVEL
